error,count
" ### Error querying database.  Cause: java.lang.NullPointerException ### The error may exist in org/apache/ibatis/submitted/lazy_deserialize/Mapper.xml ### The error may involve org.apache.ibatis.submitted.lazy_deserialize.Mapper.loadFoo-Inline ### The error occurred while setting parameters ### SQL: SELECT             f.id            AS  id,             f.id_bar        AS  id_bar         FROM table_foo AS f         WHERE f.id = ? ### Cause: java.lang.NullPointerException",1
The class &#x27;databases.blog.StoredProcedures&#x27; does not exist or is inaccessible. This can happen if the class is not public.,90
 ### Error building SqlSession. ### The error may exist in org/apache/ibatis/builder/AuthorMapper.xml ### The error occurred while processing mapper_resultMap[complexAuthorId] ### Cause: org.apache.ibatis.builder.BuilderException: Error parsing SQL Mapper Configuration. Cause: org.apache.ibatis.builder.BuilderException: Error parsing Mapper XML. Cause: org.apache.ibatis.builder.BuilderException: Error resolving class. Cause: org.apache.ibatis.type.TypeException: Could not resolve type alias &#x27;domain.blog.ComplexImmutableAuthorId&#x27;.  Cause: java.lang.ClassNotFoundException: Cannot find class: domain.blog.ComplexImmutableAuthorId,120
Error parsing Mapper XML. Cause: org.apache.ibatis.builder.BuilderException: Error resolving class. Cause: org.apache.ibatis.type.TypeException: Could not resolve type alias &#x27;domain.blog.ComplexImmutableAuthorId&#x27;.  Cause: java.lang.ClassNotFoundException: Cannot find class: domain.blog.ComplexImmutableAuthorId,5
"
### Error building SqlSession.
### Cause: java.lang.IllegalStateException: Cannot enable lazy loading because Javassist is not available. Add Javassist to your classpath.",180
Cannot enable lazy loading because Javassist is not available. Add Javassist to your classpath.,179
"Unexpected exception, expected&lt;java.lang.IllegalArgumentException&gt; but was&lt;org.apache.ibatis.exceptions.PersistenceException&gt;",1
"org.apache.ibatis.exceptions.PersistenceException: 
### Error building SqlSession.
### Cause: java.lang.IllegalStateException: Cannot enable lazy loading because Javassist is not available. Add Javassist to your classpath.",1
,16
"Unexpected exception, expected&lt;org.apache.ibatis.builder.BuilderException&gt; but was&lt;java.lang.IllegalStateException&gt;",2
"Mapper configuration failed, expected this to work: 
### Error building SqlSession.
### Cause: java.lang.IllegalStateException: Cannot enable lazy loading because Javassist is not available. Add Javassist to your classpath.",8
org/apache/ibatis/javassist/CtClassType,1
Could not initialize class org.apache.ibatis.ognl.OgnlRuntime,6
"Unexpected exception, expected&lt;org.apache.ibatis.exceptions.PersistenceException&gt; but was&lt;java.lang.IllegalStateException&gt;",1
"Unexpected exception, expected&lt;org.apache.ibatis.executor.ExecutorException&gt; but was&lt;java.lang.IllegalStateException&gt;",2
"
### Error updating database.  Cause: org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections.
### Cause: org.postgresql.util.PSQLException: Connection refused. Check that the hostname and port are correct and that the postmaster is accepting TCP/IP connections.",2
"
### Error querying database.  Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;query&#x27; in &#x27;class org.apache.ibatis.session.RowBounds&#x27;
### Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named &#x27;query&#x27; in &#x27;class org.apache.ibatis.session.RowBounds&#x27;",1
Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.,8
"
### Error querying database.  Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.
### The error may exist in org/apache/ibatis/builder/AuthorMapper.xml
### The error may involve org.apache.ibatis.domain.blog.mappers.AuthorMapper.selectAllAuthorsSet
### The error occurred while handling results
### SQL: select * from author
### Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.",1
"Unexpected exception, expected&lt;org.apache.ibatis.exceptions.TooManyResultsException&gt; but was&lt;org.apache.ibatis.exceptions.PersistenceException&gt;",1
"
### Error querying database.  Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.
### The error may exist in org/apache/ibatis/builder/CachedAuthorMapper.xml
### The error may involve com.domain.CachedAuthorMapper.selectAllAuthors
### The error occurred while handling results
### SQL: select * from author
### Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.",1
"
### Error querying database.  Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.
### The error may exist in org/apache/ibatis/builder/AuthorMapper.xml
### The error may involve org.apache.ibatis.domain.blog.mappers.AuthorMapper.selectAllAuthorsVector
### The error occurred while handling results
### SQL: select * from author
### Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.",1
"
### Error querying database.  Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.
### The error may exist in org/apache/ibatis/builder/AuthorMapper.xml
### The error may involve org.apache.ibatis.domain.blog.mappers.AuthorMapper.selectAuthorWithInlineParams
### The error occurred while handling results
### SQL: select * from author where id = ?
### Cause: org.apache.ibatis.executor.result.ResultMapException: Error attempting to get column &#x27;BIO&#x27; from result set.  Cause: java.sql.SQLDataException: An attempt was made to get a data value of type &#x27;java.sql.Clob&#x27; from a data value of type &#x27;LONG VARCHAR&#x27;.",2
