error,count
In-memory buffer limit exceeded,1
checkForCorrectIndex(resolve),1413
No changes,1976
"crissCrossMerge_checkOtherFiles(strategiesUnderTest[0], indexStates[2], worktreeStates[4])",1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4422039007836720442&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_9053001587391234127&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6271511683628542566&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6022419342643392253&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2414909635760888468&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5273801522341168610&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5364465069369803964&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1560104040858076743&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3417120569757567495&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1368514976827799100&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_713952244358425520&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_9079289154654521962&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2258878874712698385&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7135670431340209058&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4444538920184486192&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3831850878163367458&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8919950471800105724&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5526291875669777747&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5957565307570910064&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7610548209893616954&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1821768734735519992&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1916995657205007612&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2078290358559307126&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1095673108628535109&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3947340063495404398&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2732993471955143681&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8447594921866442957&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4330507675999539167&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_870858304789918953&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1355938313593030818&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1458673424730937022&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4675439223418161744&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8998116453034894353&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7321864628654855196&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8032724006914342097&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6218294444040654576&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2878880151615619801&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7027166687090927624&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8186073721063800578&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1116959501663856790&#x27; on file &#x27;src/a.txt&#x27; failed,1
