id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
1266,26f1668f,FAIL,21,NO,0,NO,0,2019-11-13 15:44:48 -0600,"[accumulo] remove EOM Accumulo versions (1.6, 1.7) and rename 1.8 binding to 1.9. (#1366)",244,21047
1267,650eee2b,FAIL,14,NO,0,NO,0,2020-01-31 17:40:34 +0100,[core] make it possible to use zero operation count again. (#1384),244,21047
1268,940e6a5f,FAIL,14,NO,0,NO,0,2020-01-31 22:12:45 +0530,[ignite] Fixes configuration file path in README (#1388),244,21047
1269,cf40f40e,FAIL,13,NO,0,NO,0,2020-01-31 22:35:26 +0530,[ignite] Updates ignite to latest version (#1389),244,21047
1270,961a3dd5,FAIL,13,NO,0,NO,0,2020-01-31 12:17:41 -0500,"[mongodb] upgraded to latest driver, allow SRV style mongodb URI, fix readme example (#1360)",244,21048
1271,96eb2c45,FAIL,13,NO,0,NO,0,2020-02-01 17:44:08 -0500,[travis] Updates Travis Maven and enforces Maven version (#1392),244,21048
1272,b3a091cc,FAIL,13,NO,0,NO,0,2020-02-03 10:12:04 -0600,[kudu] Close clients on cleanup (#1394),244,21049
1273,cd711915,FAIL,15,NO,0,NO,0,2020-02-04 09:22:22 -0600,[mapkeeper] remove defunct mapkeeper binding. (#1398),243,20898
1274,780aec92,FAIL,23,NO,0,NO,0,2020-02-05 11:53:58 -0600,[hbase] update HBase bindings for eom (#1396),232,20469
1275,af47d643,FAIL,15,NO,0,NO,0,2020-03-17 18:08:00 -0400,[solr7] Add support for Apache Solr 7,237,20794
1276,0a431049,FAIL,14,NO,0,NO,0,2020-09-16 20:51:50 +0100,[redis] add ability to specify jedis timeout on the command line (#1455),237,20799
1277,c28cab48,FAIL,13,NO,0,NO,0,2020-04-22 11:13:45 +0800,[core] correct a function name in Measurements,237,20799
1278,cd163d38,FAIL,301,NO,0,NO,0,2020-02-10 23:14:50 -0500,[build] Use HTTPS instead of HTTP to resolve dependencies,237,20799
1279,a903e18a,FAIL,300,NO,0,NO,0,2020-05-28 15:10:32 -0700,[core] Support readallfieldsbyname (#1427),237,20804
1280,4847896d,FAIL,69,NO,0,NO,0,2020-11-26 21:36:28 -0600,[build] Use HTTPS instead of HTTP to resolve depdencies ADDENDUM (#1406),237,20804
1281,5a12972c,FAIL,108,NO,0,NO,0,2020-07-06 00:34:15 +0200,[dynamodb] Improve endpoint and region config,237,20817
1282,e6d551c4,FAIL,42,NO,0,NO,0,2020-11-27 18:01:30 +1100,[cloudspanner] updates spanner client lib to 2.0.1 (#1464),237,20817
1283,989b930d,FAIL,27,NO,0,NO,0,2020-11-27 00:06:16 -0800,[seaweedfs] add seaweedfs (#1443),239,20966
1284,49ce12a3,FAIL,28,NO,0,NO,0,2020-11-27 00:07:35 -0800,[rocksdb] change README to build just rocksdb binding (#1447),239,20966
1285,bee93f2a,FAIL,28,NO,0,NO,0,2020-11-29 23:05:41 +0100,[postgrenosql] Read ResultSet was not iterated correctly. (#1376),239,20967
1286,e31b5039,FAIL,28,NO,0,NO,0,2020-11-30 00:35:14 +0200,[core] don't print dbwrapper err log msg many times (#1481),239,20970
1287,c4082f45,FAIL,26,NO,0,NO,0,2020-11-30 09:39:59 +0800,[kudu] Support range partitioning (#1331),239,21018
1288,c9ea9a5d,FAIL,27,NO,0,NO,0,2020-11-30 08:40:25 -0600,"[solr, solr6] remove EOL solr versions. (#1484)",229,20376
1289,46d5d357,FAIL,27,NO,0,NO,0,2020-11-30 10:20:45 -0600,[voltdb] update to latest voltdb release. (#1402),229,20376
1290,f7e80903,FAIL,27,NO,0,NO,0,2020-11-30 10:21:23 -0600,[hypertable] remove the hypertable binding. (#1483),227,20201
1291,deca7291,FAIL,27,NO,0,NO,0,2020-11-30 10:22:07 -0600,[voldemort] Remove the voldemort binding. (#1482),225,20104
1292,5dccbb04,FAIL,27,NO,0,NO,0,2020-12-05 06:09:00 +0200,[core] print data integrity status is enabled (#1488),225,20108
1293,261cc785,FAIL,34,NO,0,NO,0,2020-12-05 13:55:41 -0800,[cosmosdb] Upgrade SDK to v4 (#1449),225,20170
1294,7ddc8fe0,FAIL,23,NO,0,NO,0,2020-12-07 11:47:29 +0800,[zookeeper]: add the zk binding (#1327),228,20402
1295,67204673,FAIL,25,NO,0,NO,0,2020-12-07 05:53:39 +0200,[cassandra] replace consistency ONE with QUORUM (#1487),228,20402
1296,ff4ecbd3,FAIL,23,NO,0,NO,0,2020-12-07 05:54:24 +0200,[scylla] native Scylla support with token aware balancing policy and LWT (#1473),231,20910
1297,a2d51277,FAIL,26,NO,0,NO,0,2020-12-07 04:58:21 +0100,[hbase2] HBase server side value filtering for long SCAN operations (#1462),231,21005
1298,ce3eb9ce,FAIL,26,NO,0,NO,0,2021-02-16 17:38:00 +0200,"[scylla] enable token aware LB by default, improve the docs (#1507)",231,21006
